Cfi,status,failed_fields,family,expected_family,source_cfi,expected_source_cfi,enabled_risks,expected_enabled_risks,risk_overrides,expected_risk_overrides,shifts,expected_shifts,inventory_replenishment_period,expected_inventory_replenishment_period,initial_buffers,expected_initial_buffers,horizon_hours,expected_horizon_hours
22,MATCH,,risk_r3,risk_r3,22,22,R3,R3,"{""R3"": ""increased""}","{""R3"": ""increased""}",1,1,,,{},{},161280.0,161280.0
23,MATCH,,risk_r3,risk_r3,23,23,R3,R3,"{""R3"": ""increased""}","{""R3"": ""increased""}",1,1,,,{},{},161280.0,161280.0
24,MATCH,,risk_r3,risk_r3,24,24,R3,R3,"{""R3"": ""increased""}","{""R3"": ""increased""}",1,1,,,{},{},161280.0,161280.0
25,MATCH,,risk_r3,risk_r3,25,25,R3,R3,"{""R3"": ""increased""}","{""R3"": ""increased""}",1,1,,,{},{},161280.0,161280.0
26,MATCH,,risk_r3,risk_r3,26,26,R3,R3,"{""R3"": ""current""}","{""R3"": ""current""}",1,1,,,{},{},161280.0,161280.0
27,MATCH,,risk_r3,risk_r3,27,27,R3,R3,"{""R3"": ""current""}","{""R3"": ""current""}",1,1,,,{},{},161280.0,161280.0
28,MATCH,,risk_r3,risk_r3,28,28,R3,R3,"{""R3"": ""current""}","{""R3"": ""current""}",1,1,,,{},{},161280.0,161280.0
29,MATCH,,risk_r3,risk_r3,29,29,R3,R3,"{""R3"": ""increased""}","{""R3"": ""increased""}",1,1,,,{},{},161280.0,161280.0
30,MATCH,,risk_r3,risk_r3,30,30,R3,R3,"{""R3"": ""current""}","{""R3"": ""current""}",1,1,,,{},{},161280.0,161280.0
31,MATCH,,inventory,inventory,1,1,"R11,R12,R13,R14","R11,R12,R13,R14","{""R11"": ""current"", ""R12"": ""current"", ""R13"": ""increased"", ""R14"": ""increased""}","{""R11"": ""current"", ""R12"": ""current"", ""R13"": ""increased"", ""R14"": ""increased""}",1,1,504.0,504,"{""op3_rm"": 46080.0, ""op5_rm"": 46080.0, ""op9_rations"": 47250.0}","{""op3_rm"": 46080.0, ""op5_rm"": 46080.0, ""op9_rations"": 47250.0}",161280.0,161280.0
32,MATCH,,inventory,inventory,2,2,"R11,R12,R13,R14","R11,R12,R13,R14","{""R11"": ""current"", ""R12"": ""increased"", ""R13"": ""current"", ""R14"": ""current""}","{""R11"": ""current"", ""R12"": ""increased"", ""R13"": ""current"", ""R14"": ""current""}",1,1,336.0,336,"{""op3_rm"": 30720.0, ""op5_rm"": 30720.0, ""op9_rations"": 31500.0}","{""op3_rm"": 30720.0, ""op5_rm"": 30720.0, ""op9_rations"": 31500.0}",161280.0,161280.0
33,MATCH,,inventory,inventory,3,3,"R11,R12,R13,R14","R11,R12,R13,R14","{""R11"": ""increased"", ""R12"": ""current"", ""R13"": ""increased"", ""R14"": ""increased""}","{""R11"": ""increased"", ""R12"": ""current"", ""R13"": ""increased"", ""R14"": ""increased""}",1,1,168.0,168,"{""op3_rm"": 15360.0, ""op5_rm"": 15360.0, ""op9_rations"": 15750.0}","{""op3_rm"": 15360.0, ""op5_rm"": 15360.0, ""op9_rations"": 15750.0}",80640.0,80640.0
34,MATCH,,inventory,inventory,4,4,"R11,R12,R13,R14","R11,R12,R13,R14","{""R11"": ""increased"", ""R12"": ""increased"", ""R13"": ""increased"", ""R14"": ""current""}","{""R11"": ""increased"", ""R12"": ""increased"", ""R13"": ""increased"", ""R14"": ""current""}",1,1,1344.0,1344,"{""op3_rm"": 122880.0, ""op5_rm"": 122880.0, ""op9_rations"": 126000.0}","{""op3_rm"": 122880.0, ""op5_rm"": 122880.0, ""op9_rations"": 126000.0}",80640.0,80640.0
35,MATCH,,inventory,inventory,5,5,"R11,R12,R13,R14","R11,R12,R13,R14","{""R11"": ""current"", ""R12"": ""current"", ""R13"": ""increased"", ""R14"": ""current""}","{""R11"": ""current"", ""R12"": ""current"", ""R13"": ""increased"", ""R14"": ""current""}",1,1,336.0,336,"{""op3_rm"": 30720.0, ""op5_rm"": 30720.0, ""op9_rations"": 31500.0}","{""op3_rm"": 30720.0, ""op5_rm"": 30720.0, ""op9_rations"": 31500.0}",80640.0,80640.0
36,MATCH,,inventory,inventory,6,6,"R11,R12,R13,R14","R11,R12,R13,R14","{""R11"": ""increased"", ""R12"": ""increased"", ""R13"": ""current"", ""R14"": ""increased""}","{""R11"": ""increased"", ""R12"": ""increased"", ""R13"": ""current"", ""R14"": ""increased""}",1,1,1344.0,1344,"{""op3_rm"": 122880.0, ""op5_rm"": 122880.0, ""op9_rations"": 126000.0}","{""op3_rm"": 122880.0, ""op5_rm"": 122880.0, ""op9_rations"": 126000.0}",80640.0,80640.0
37,MATCH,,inventory,inventory,7,7,"R11,R12,R13,R14","R11,R12,R13,R14","{""R11"": ""increased"", ""R12"": ""current"", ""R13"": ""current"", ""R14"": ""increased""}","{""R11"": ""increased"", ""R12"": ""current"", ""R13"": ""current"", ""R14"": ""increased""}",1,1,672.0,672,"{""op3_rm"": 61440.0, ""op5_rm"": 61440.0, ""op9_rations"": 63000.0}","{""op3_rm"": 61440.0, ""op5_rm"": 61440.0, ""op9_rations"": 63000.0}",80640.0,80640.0
38,MATCH,,inventory,inventory,8,8,"R11,R12,R13,R14","R11,R12,R13,R14","{""R11"": ""increased"", ""R12"": ""current"", ""R13"": ""current"", ""R14"": ""current""}","{""R11"": ""increased"", ""R12"": ""current"", ""R13"": ""current"", ""R14"": ""current""}",1,1,672.0,672,"{""op3_rm"": 61440.0, ""op5_rm"": 61440.0, ""op9_rations"": 63000.0}","{""op3_rm"": 61440.0, ""op5_rm"": 61440.0, ""op9_rations"": 63000.0}",80640.0,80640.0
39,MATCH,,inventory,inventory,9,9,"R11,R12,R13,R14","R11,R12,R13,R14","{""R11"": ""current"", ""R12"": ""increased"", ""R13"": ""increased"", ""R14"": ""increased""}","{""R11"": ""current"", ""R12"": ""increased"", ""R13"": ""increased"", ""R14"": ""increased""}",1,1,168.0,168,"{""op3_rm"": 15360.0, ""op5_rm"": 15360.0, ""op9_rations"": 15750.0}","{""op3_rm"": 15360.0, ""op5_rm"": 15360.0, ""op9_rations"": 15750.0}",80640.0,80640.0
40,MATCH,,inventory,inventory,10,10,"R11,R12,R13,R14","R11,R12,R13,R14","{""R11"": ""current"", ""R12"": ""increased"", ""R13"": ""current"", ""R14"": ""increased""}","{""R11"": ""current"", ""R12"": ""increased"", ""R13"": ""current"", ""R14"": ""increased""}",1,1,504.0,504,"{""op3_rm"": 46080.0, ""op5_rm"": 46080.0, ""op9_rations"": 47250.0}","{""op3_rm"": 46080.0, ""op5_rm"": 46080.0, ""op9_rations"": 47250.0}",80640.0,80640.0
41,MATCH,,inventory,inventory,11,11,"R21,R22,R23,R24","R21,R22,R23,R24","{""R21"": ""increased"", ""R22"": ""current"", ""R23"": ""increased"", ""R24"": ""increased""}","{""R21"": ""increased"", ""R22"": ""current"", ""R23"": ""increased"", ""R24"": ""increased""}",1,1,1344.0,1344,"{""op3_rm"": 122880.0, ""op5_rm"": 122880.0, ""op9_rations"": 126000.0}","{""op3_rm"": 122880.0, ""op5_rm"": 122880.0, ""op9_rations"": 126000.0}",80640.0,80640.0
42,MATCH,,inventory,inventory,12,12,"R21,R22,R23,R24","R21,R22,R23,R24","{""R21"": ""increased"", ""R22"": ""current"", ""R23"": ""current"", ""R24"": ""current""}","{""R21"": ""increased"", ""R22"": ""current"", ""R23"": ""current"", ""R24"": ""current""}",1,1,336.0,336,"{""op3_rm"": 30720.0, ""op5_rm"": 30720.0, ""op9_rations"": 31500.0}","{""op3_rm"": 30720.0, ""op5_rm"": 30720.0, ""op9_rations"": 31500.0}",80640.0,80640.0
43,MATCH,,inventory,inventory,13,13,"R21,R22,R23,R24","R21,R22,R23,R24","{""R21"": ""increased"", ""R22"": ""increased"", ""R23"": ""current"", ""R24"": ""increased""}","{""R21"": ""increased"", ""R22"": ""increased"", ""R23"": ""current"", ""R24"": ""increased""}",1,1,504.0,504,"{""op3_rm"": 46080.0, ""op5_rm"": 46080.0, ""op9_rations"": 47250.0}","{""op3_rm"": 46080.0, ""op5_rm"": 46080.0, ""op9_rations"": 47250.0}",80640.0,80640.0
44,MATCH,,inventory,inventory,14,14,"R21,R22,R23,R24","R21,R22,R23,R24","{""R21"": ""increased"", ""R22"": ""increased"", ""R23"": ""increased"", ""R24"": ""current""}","{""R21"": ""increased"", ""R22"": ""increased"", ""R23"": ""increased"", ""R24"": ""current""}",1,1,168.0,168,"{""op3_rm"": 15360.0, ""op5_rm"": 15360.0, ""op9_rations"": 15750.0}","{""op3_rm"": 15360.0, ""op5_rm"": 15360.0, ""op9_rations"": 15750.0}",80640.0,80640.0
45,MATCH,,inventory,inventory,15,15,"R21,R22,R23,R24","R21,R22,R23,R24","{""R21"": ""current"", ""R22"": ""current"", ""R23"": ""increased"", ""R24"": ""increased""}","{""R21"": ""current"", ""R22"": ""current"", ""R23"": ""increased"", ""R24"": ""increased""}",1,1,504.0,504,"{""op3_rm"": 46080.0, ""op5_rm"": 46080.0, ""op9_rations"": 47250.0}","{""op3_rm"": 46080.0, ""op5_rm"": 46080.0, ""op9_rations"": 47250.0}",80640.0,80640.0
46,MATCH,,inventory,inventory,16,16,"R21,R22,R23,R24","R21,R22,R23,R24","{""R21"": ""current"", ""R22"": ""increased"", ""R23"": ""current"", ""R24"": ""current""}","{""R21"": ""current"", ""R22"": ""increased"", ""R23"": ""current"", ""R24"": ""current""}",1,1,1344.0,1344,"{""op3_rm"": 122880.0, ""op5_rm"": 122880.0, ""op9_rations"": 126000.0}","{""op3_rm"": 122880.0, ""op5_rm"": 122880.0, ""op9_rations"": 126000.0}",80640.0,80640.0
47,MATCH,,inventory,inventory,17,17,"R21,R22,R23,R24","R21,R22,R23,R24","{""R21"": ""current"", ""R22"": ""increased"", ""R23"": ""increased"", ""R24"": ""current""}","{""R21"": ""current"", ""R22"": ""increased"", ""R23"": ""increased"", ""R24"": ""current""}",1,1,168.0,168,"{""op3_rm"": 15360.0, ""op5_rm"": 15360.0, ""op9_rations"": 15750.0}","{""op3_rm"": 15360.0, ""op5_rm"": 15360.0, ""op9_rations"": 15750.0}",80640.0,80640.0
48,MATCH,,inventory,inventory,18,18,"R21,R22,R23,R24","R21,R22,R23,R24","{""R21"": ""current"", ""R22"": ""current"", ""R23"": ""increased"", ""R24"": ""current""}","{""R21"": ""current"", ""R22"": ""current"", ""R23"": ""increased"", ""R24"": ""current""}",1,1,336.0,336,"{""op3_rm"": 30720.0, ""op5_rm"": 30720.0, ""op9_rations"": 31500.0}","{""op3_rm"": 30720.0, ""op5_rm"": 30720.0, ""op9_rations"": 31500.0}",80640.0,80640.0
49,MATCH,,inventory,inventory,19,19,"R21,R22,R23,R24","R21,R22,R23,R24","{""R21"": ""current"", ""R22"": ""increased"", ""R23"": ""current"", ""R24"": ""increased""}","{""R21"": ""current"", ""R22"": ""increased"", ""R23"": ""current"", ""R24"": ""increased""}",1,1,672.0,672,"{""op3_rm"": 61440.0, ""op5_rm"": 61440.0, ""op9_rations"": 63000.0}","{""op3_rm"": 61440.0, ""op5_rm"": 61440.0, ""op9_rations"": 63000.0}",80640.0,80640.0
50,MATCH,,inventory,inventory,20,20,"R21,R22,R23,R24","R21,R22,R23,R24","{""R21"": ""increased"", ""R22"": ""increased"", ""R23"": ""increased"", ""R24"": ""increased""}","{""R21"": ""increased"", ""R22"": ""increased"", ""R23"": ""increased"", ""R24"": ""increased""}",1,1,672.0,672,"{""op3_rm"": 61440.0, ""op5_rm"": 61440.0, ""op9_rations"": 63000.0}","{""op3_rm"": 61440.0, ""op5_rm"": 61440.0, ""op9_rations"": 63000.0}",80640.0,80640.0
51,MATCH,,inventory,inventory,21,21,R3,R3,"{""R3"": ""current""}","{""R3"": ""current""}",1,1,672.0,672,"{""op3_rm"": 61440.0, ""op5_rm"": 61440.0, ""op9_rations"": 63000.0}","{""op3_rm"": 61440.0, ""op5_rm"": 61440.0, ""op9_rations"": 63000.0}",161280.0,161280.0
52,MATCH,,inventory,inventory,22,22,R3,R3,"{""R3"": ""increased""}","{""R3"": ""increased""}",1,1,1344.0,1344,"{""op3_rm"": 122880.0, ""op5_rm"": 122880.0, ""op9_rations"": 126000.0}","{""op3_rm"": 122880.0, ""op5_rm"": 122880.0, ""op9_rations"": 126000.0}",161280.0,161280.0
53,MATCH,,inventory,inventory,23,23,R3,R3,"{""R3"": ""increased""}","{""R3"": ""increased""}",1,1,672.0,672,"{""op3_rm"": 61440.0, ""op5_rm"": 61440.0, ""op9_rations"": 63000.0}","{""op3_rm"": 61440.0, ""op5_rm"": 61440.0, ""op9_rations"": 63000.0}",161280.0,161280.0
54,MATCH,,inventory,inventory,24,24,R3,R3,"{""R3"": ""increased""}","{""R3"": ""increased""}",1,1,1344.0,1344,"{""op3_rm"": 122880.0, ""op5_rm"": 122880.0, ""op9_rations"": 126000.0}","{""op3_rm"": 122880.0, ""op5_rm"": 122880.0, ""op9_rations"": 126000.0}",161280.0,161280.0
55,MATCH,,inventory,inventory,25,25,R3,R3,"{""R3"": ""increased""}","{""R3"": ""increased""}",1,1,504.0,504,"{""op3_rm"": 46080.0, ""op5_rm"": 46080.0, ""op9_rations"": 47250.0}","{""op3_rm"": 46080.0, ""op5_rm"": 46080.0, ""op9_rations"": 47250.0}",161280.0,161280.0
56,MATCH,,inventory,inventory,26,26,R3,R3,"{""R3"": ""current""}","{""R3"": ""current""}",1,1,504.0,504,"{""op3_rm"": 46080.0, ""op5_rm"": 46080.0, ""op9_rations"": 47250.0}","{""op3_rm"": 46080.0, ""op5_rm"": 46080.0, ""op9_rations"": 47250.0}",161280.0,161280.0
57,MATCH,,inventory,inventory,27,27,R3,R3,"{""R3"": ""current""}","{""R3"": ""current""}",1,1,336.0,336,"{""op3_rm"": 30720.0, ""op5_rm"": 30720.0, ""op9_rations"": 31500.0}","{""op3_rm"": 30720.0, ""op5_rm"": 30720.0, ""op9_rations"": 31500.0}",161280.0,161280.0
58,MATCH,,inventory,inventory,28,28,R3,R3,"{""R3"": ""current""}","{""R3"": ""current""}",1,1,336.0,336,"{""op3_rm"": 30720.0, ""op5_rm"": 30720.0, ""op9_rations"": 31500.0}","{""op3_rm"": 30720.0, ""op5_rm"": 30720.0, ""op9_rations"": 31500.0}",161280.0,161280.0
59,MATCH,,inventory,inventory,29,29,R3,R3,"{""R3"": ""increased""}","{""R3"": ""increased""}",1,1,168.0,168,"{""op3_rm"": 15360.0, ""op5_rm"": 15360.0, ""op9_rations"": 15750.0}","{""op3_rm"": 15360.0, ""op5_rm"": 15360.0, ""op9_rations"": 15750.0}",161280.0,161280.0
60,MATCH,,inventory,inventory,30,30,R3,R3,"{""R3"": ""current""}","{""R3"": ""current""}",1,1,168.0,168,"{""op3_rm"": 15360.0, ""op5_rm"": 15360.0, ""op9_rations"": 15750.0}","{""op3_rm"": 15360.0, ""op5_rm"": 15360.0, ""op9_rations"": 15750.0}",161280.0,161280.0
61,MATCH,,capacity,capacity,1,1,"R11,R12,R13,R14","R11,R12,R13,R14","{""R11"": ""current"", ""R12"": ""current"", ""R13"": ""increased"", ""R14"": ""increased""}","{""R11"": ""current"", ""R12"": ""current"", ""R13"": ""increased"", ""R14"": ""increased""}",2,2,,,{},{},161280.0,161280.0
62,MATCH,,capacity,capacity,2,2,"R11,R12,R13,R14","R11,R12,R13,R14","{""R11"": ""current"", ""R12"": ""increased"", ""R13"": ""current"", ""R14"": ""current""}","{""R11"": ""current"", ""R12"": ""increased"", ""R13"": ""current"", ""R14"": ""current""}",1,1,,,{},{},161280.0,161280.0
63,MATCH,,capacity,capacity,3,3,"R11,R12,R13,R14","R11,R12,R13,R14","{""R11"": ""increased"", ""R12"": ""current"", ""R13"": ""increased"", ""R14"": ""increased""}","{""R11"": ""increased"", ""R12"": ""current"", ""R13"": ""increased"", ""R14"": ""increased""}",3,3,,,{},{},80640.0,80640.0
64,MATCH,,capacity,capacity,4,4,"R11,R12,R13,R14","R11,R12,R13,R14","{""R11"": ""increased"", ""R12"": ""increased"", ""R13"": ""increased"", ""R14"": ""current""}","{""R11"": ""increased"", ""R12"": ""increased"", ""R13"": ""increased"", ""R14"": ""current""}",3,3,,,{},{},80640.0,80640.0
65,MATCH,,capacity,capacity,5,5,"R11,R12,R13,R14","R11,R12,R13,R14","{""R11"": ""current"", ""R12"": ""current"", ""R13"": ""increased"", ""R14"": ""current""}","{""R11"": ""current"", ""R12"": ""current"", ""R13"": ""increased"", ""R14"": ""current""}",1,1,,,{},{},80640.0,80640.0
66,MATCH,,capacity,capacity,6,6,"R11,R12,R13,R14","R11,R12,R13,R14","{""R11"": ""increased"", ""R12"": ""increased"", ""R13"": ""current"", ""R14"": ""increased""}","{""R11"": ""increased"", ""R12"": ""increased"", ""R13"": ""current"", ""R14"": ""increased""}",2,2,,,{},{},80640.0,80640.0
67,MATCH,,capacity,capacity,7,7,"R11,R12,R13,R14","R11,R12,R13,R14","{""R11"": ""increased"", ""R12"": ""current"", ""R13"": ""current"", ""R14"": ""increased""}","{""R11"": ""increased"", ""R12"": ""current"", ""R13"": ""current"", ""R14"": ""increased""}",1,1,,,{},{},80640.0,80640.0
68,MATCH,,capacity,capacity,8,8,"R11,R12,R13,R14","R11,R12,R13,R14","{""R11"": ""increased"", ""R12"": ""current"", ""R13"": ""current"", ""R14"": ""current""}","{""R11"": ""increased"", ""R12"": ""current"", ""R13"": ""current"", ""R14"": ""current""}",2,2,,,{},{},80640.0,80640.0
69,MATCH,,capacity,capacity,9,9,"R11,R12,R13,R14","R11,R12,R13,R14","{""R11"": ""current"", ""R12"": ""increased"", ""R13"": ""increased"", ""R14"": ""increased""}","{""R11"": ""current"", ""R12"": ""increased"", ""R13"": ""increased"", ""R14"": ""increased""}",3,3,,,{},{},80640.0,80640.0
70,MATCH,,capacity,capacity,10,10,"R11,R12,R13,R14","R11,R12,R13,R14","{""R11"": ""current"", ""R12"": ""increased"", ""R13"": ""current"", ""R14"": ""increased""}","{""R11"": ""current"", ""R12"": ""increased"", ""R13"": ""current"", ""R14"": ""increased""}",3,3,,,{},{},80640.0,80640.0
71,MATCH,,capacity,capacity,11,11,"R21,R22,R23,R24","R21,R22,R23,R24","{""R21"": ""increased"", ""R22"": ""current"", ""R23"": ""increased"", ""R24"": ""increased""}","{""R21"": ""increased"", ""R22"": ""current"", ""R23"": ""increased"", ""R24"": ""increased""}",1,1,,,{},{},80640.0,80640.0
72,MATCH,,capacity,capacity,12,12,"R21,R22,R23,R24","R21,R22,R23,R24","{""R21"": ""increased"", ""R22"": ""current"", ""R23"": ""current"", ""R24"": ""current""}","{""R21"": ""increased"", ""R22"": ""current"", ""R23"": ""current"", ""R24"": ""current""}",3,3,,,{},{},80640.0,80640.0
73,MATCH,,capacity,capacity,13,13,"R21,R22,R23,R24","R21,R22,R23,R24","{""R21"": ""increased"", ""R22"": ""increased"", ""R23"": ""current"", ""R24"": ""increased""}","{""R21"": ""increased"", ""R22"": ""increased"", ""R23"": ""current"", ""R24"": ""increased""}",2,2,,,{},{},80640.0,80640.0
74,MATCH,,capacity,capacity,14,14,"R21,R22,R23,R24","R21,R22,R23,R24","{""R21"": ""increased"", ""R22"": ""increased"", ""R23"": ""increased"", ""R24"": ""current""}","{""R21"": ""increased"", ""R22"": ""increased"", ""R23"": ""increased"", ""R24"": ""current""}",3,3,,,{},{},80640.0,80640.0
75,MATCH,,capacity,capacity,15,15,"R21,R22,R23,R24","R21,R22,R23,R24","{""R21"": ""current"", ""R22"": ""current"", ""R23"": ""increased"", ""R24"": ""increased""}","{""R21"": ""current"", ""R22"": ""current"", ""R23"": ""increased"", ""R24"": ""increased""}",2,2,,,{},{},80640.0,80640.0
76,MATCH,,capacity,capacity,16,16,"R21,R22,R23,R24","R21,R22,R23,R24","{""R21"": ""current"", ""R22"": ""increased"", ""R23"": ""current"", ""R24"": ""current""}","{""R21"": ""current"", ""R22"": ""increased"", ""R23"": ""current"", ""R24"": ""current""}",3,3,,,{},{},80640.0,80640.0
77,MATCH,,capacity,capacity,17,17,"R21,R22,R23,R24","R21,R22,R23,R24","{""R21"": ""current"", ""R22"": ""increased"", ""R23"": ""increased"", ""R24"": ""current""}","{""R21"": ""current"", ""R22"": ""increased"", ""R23"": ""increased"", ""R24"": ""current""}",2,2,,,{},{},80640.0,80640.0
78,MATCH,,capacity,capacity,18,18,"R21,R22,R23,R24","R21,R22,R23,R24","{""R21"": ""current"", ""R22"": ""current"", ""R23"": ""increased"", ""R24"": ""current""}","{""R21"": ""current"", ""R22"": ""current"", ""R23"": ""increased"", ""R24"": ""current""}",1,1,,,{},{},80640.0,80640.0
